sheet,cell,formula,cached_value
T1,R100,"=IF(J100=0,0,Q100*VLOOKUP(E100,'Prix Matiere'!$A$4:$L$60,11))",0.59508
T1,B101,"=IF(B34=""Aucun"",0,""Extrémité"")",Extrémité
T1,C101,"=IF(B34=""Aucun"",0,IF(B34=""Entourage Stratocell 20 mm"",0,IF(B34=""Entourage Stratocell 30 mm"",0,IF(C29<60,10,IF(C29<80,15,20)))))",20
T1,D101,"=IF(B34=""Entourage Stratocell 20 mm"",0,IF(B34=""Entourage Stratocell 30 mm"",0,D100))",16
T1,E101,"=IF(B34=""Entourage Stratocell 20 mm"",0,IF(B34=""Entourage Stratocell 30 mm"",0,VLOOKUP(B34,B169:M177,9)))",PU 50 mm
T1,F101,"=IF(B34=""Aucun"",0,IF(B34=""Entourage Stratocell 20 mm"",0,IF(B34=""Entourage Stratocell 30 mm"",0,2)))",2
T1,J101,"=IF(C101=0,0,(C101/100)*(D101/100)*F101)",0.064
T1,K101,=J101/0.8,0.08
T1,L101,"=IF(E101=0,0,VLOOKUP(E101,'Prix Matiere'!$A$4:$J$65,10))",9.56701030927835
T1,M101,=L101*K101,0.7653608247422681
T1,N101,"=IF(J101=0,0,4.7283*J101+2)",2.3026112
T1,O101,=N101*MinuteMO,1.9572195199999998
T1,Q101,"=IF(J101=0,0,J101*VLOOKUP(E101,'Prix Matiere'!$A$4:$L$60,12))",0.08
T1,R101,"=IF(J101=0,0,Q101*VLOOKUP(E101,'Prix Matiere'!$A$4:$L$60,11))",0.21600000000000003
T1,B102,"=IF(B34=""Aucun"",0,B38)",Ethafoam 50 mm
T1,C102,=C38,12
T1,D102,"=IF(B34=""Entourage Stratocell 20 mm"",0,IF(B34=""Entourage Stratocell 30 mm"",0,D101))",16
T1,E102,"=IF(B34=""Aucun"",0,IF(B34=""Entourage Stratocell 20 mm"",0,IF(B34=""Entourage Stratocell 30 mm"",0,IF(B102=""Ethafoam 50 mm"",""Ethafoam 50 mm"",""Agglocelle 50 mm""))))",Ethafoam 50 mm
T1,F102,=F38,2
T1,J102,"=IF(C102=0,0,(C102/100)*(D102/100)*F102)",0.0384
T1,K102,=J102/0.8,0.047999999999999994
T1,L102,"=IF(E102=0,0,VLOOKUP(E102,'Prix Matiere'!$A$4:$J$65,10))",22.000937207122774
T1,M102,=L102*K102,1.056044985941893
T1,N102,"=IF(J102=0,0,4.7283*J102+2)",2.18156672
T1,O102,=N102*MinuteMO,1.854331712
T1,Q102,"=IF(J102=0,0,J102*VLOOKUP(E102,'Prix Matiere'!$A$4:$L$60,12))",0.0672
T1,R102,"=IF(J102=0,0,Q102*VLOOKUP(E102,'Prix Matiere'!$A$4:$L$60,11))",0.19487999999999997
T1,B103,"=IF(B34=""Aucun"",0,""Milieu"")",Milieu
T1,C103,"=IF(B34=""Entourage Stratocell 20 mm"",0,IF(B34=""Entourage Stratocell 30 mm"",0,(C100-((C101*F101)+(C102*F102)))/(F102-1)))",46.2
T1,D103,"=IF(B34=""Entourage Stratocell 20 mm"",0,IF(B34=""Entourage 30 mm"",0,D102))",16
T1,E103,"=IF(B34=""Entourage Stratocell 20 mm"",0,IF(B34=""Entourage Stratocell 30 mm"",0,VLOOKUP(B34,B169:M177,9)))",PU 50 mm
T1,F103,"=IF(B34=""Aucun"",0,IF(B34=""Entourage Stratocell 20 mm"",0,IF(B34=""Entourage Stratocell 30 mm"",0,F102-1)))",1
T1,J103,"=IF(C103=0,0,(C103/100)*(D103/100)*F103)",0.07392
T1,K103,=J103/0.8,0.0924
T1,L103,"=IF(E103=0,0,VLOOKUP(E103,'Prix Matiere'!$A$4:$J$65,10))",9.56701030927835
T1,M103,=L103*K103,0.8839917525773195
T1,N103,"=IF(J103=0,0,4.7283*J103+2)",2.349515936
T1,O103,=N103*MinuteMO,1.9970885455999998
T1,Q103,"=IF(J103=0,0,J103*VLOOKUP(E103,'Prix Matiere'!$A$4:$L$60,12))",0.0924
T1,R103,"=IF(J103=0,0,Q103*VLOOKUP(E103,'Prix Matiere'!$A$4:$L$60,11))",0.24948
T1,B104,"=IF(B34=""Aucun"",0,""Bouts avec passage de main"")",Bouts avec passage de main
T1,C104,"=IF(B34=""Aucun"",0,IF(B34=""Entourage Stratocell 20 mm"",E96-4.4,IF(B34=""Entourage Stratocell 30 mm"",E96-6.4,(E29-IF(E29>120,30,15))/(F104/2))))",42.5
T1,D104,"=IF(B34=""Entourage Stratocell 20 mm"",D100,IF(B34=""Entourage Stratocell 30 mm"",D100,D103))",16
T1,E104,"=VLOOKUP(B34,B169:M177,9)",PU 50 mm
T1,F104,"=IF(B34=""Aucun"",0,IF(B34=""Entourage Stratocell 20 mm"",2,IF(B34=""Entourage Stratocell 30 mm"",2,IF(E29>120,6,4))))",4
T1,J104,"=IF(C104=0,0,(C104/100)*(D104/100)*F104)",0.272
T1,K104,=J104/0.8,0.34
T1,L104,"=IF(E104=0,0,VLOOKUP(E104,'Prix Matiere'!$A$4:$J$65,10))",9.56701030927835
T1,M104,=L104*K104,3.2527835051546394
T1,N104,"=IF(J104=0,0,4.7283*J104+2)",3.2860976
T1,O104,=N104*MinuteMO,2.79318296
T1,Q104,"=IF(J104=0,0,J104*VLOOKUP(E104,'Prix Matiere'!$A$4:$L$60,12))",0.34
T1,R104,"=IF(J104=0,0,Q104*VLOOKUP(E104,'Prix Matiere'!$A$4:$L$60,11))",0.9180000000000001
T1,B105,"=IF(B34=""Aucun"",0,""Fond"")",Fond
T1,C105,"=IF(B34=""Aucun"",0,C29+VLOOKUP(B34,B169:M177,6))",100.2
T1,D105,"=IF(B34=""Sous verre 2 faces"",E29+VLOOKUP(B34,B169:M177,6),IF(B34=""Bandes de mousse fond plein"",E29+VLOOKUP(B34,B169:M177,6),IF(B34=""Entourage Stratocell 20 mm"",E96,IF(B34=""Entourage Stratocell 30 mm"",E96,C37))))",5
T1,E105,"=VLOOKUP(B34,B169:M177,8)",PU 50 mm
T1,F105,"=VLOOKUP(B34,B169:M177,7)",2
T1,J105,"=IF(C105=0,0,(C105/100)*(D105/100)*F105)",0.10020000000000001
T1,K105,=J105/0.8,0.12525
T1,L105,"=IF(E105=0,0,VLOOKUP(E105,'Prix Matiere'!$A$4:$J$65,10))",9.56701030927835
T1,M105,=L105*K105,1.1982680412371134
T1,N105,"=IF(J105=0,0,4.7283*J105+2)",2.4737756600000003
T1,O105,=N105*MinuteMO,2.1027093110000004
T1,Q105,"=IF(J105=0,0,J105*VLOOKUP(E105,'Prix Matiere'!$A$4:$L$60,12))",0.12525000000000003
T1,R105,"=IF(J105=0,0,Q105*VLOOKUP(E105,'Prix Matiere'!$A$4:$L$60,11))",0.3381750000000001
T1,B106,"=IF(B34=""Aucun"",0,""Remplis de fond"")",Remplis de fond
T1,C106,"=IF(B34=""Aucun"",0,IF(B34=""Entourage Stratocell 20 mm"",0,IF(B34=""Entourage Stratocell 30 mm"",0,IF(B34=""Sous verre 2 faces"",0,IF(B34=""Bandes de mousse fond plein"",0,E29-D105*2+VLOOKUP(B34,B169:M177,6))))))",90.2
T1,D106,"=IF(B34=""Sous verre 2 faces"",0,C37)",5
T1,E106,"=IF(C106=0,0,VLOOKUP(B34,B169:M177,8))",PU 50 mm
T1,F106,"=IF(B34=""Aucun"",0,IF(B34=""Entourage Stratocell 20 mm"",0,IF(B34=""Entourage Stratocell 30 mm"",0,IF(B34=""Sous verre 2 faces"",0,2))))",2
T1,J106,"=IF(C106=0,0,(C106/100)*(D106/100)*F106)",0.0902
T1,K106,=J106/0.8,0.11275
T1,L106,"=IF(E106=0,0,VLOOKUP(E106,'Prix Matiere'!$A$4:$J$65,10))",9.56701030927835
T1,M106,=L106*K106,1.078680412371134
T1,N106,"=IF(J106=0,0,4.7283*J106+2)",2.42649266
T1,O106,=N106*MinuteMO,2.062518761
T1,Q106,"=IF(J106=0,0,J106*VLOOKUP(E106,'Prix Matiere'!$A$4:$L$60,12))",0.11275
T1,R106,"=IF(J106=0,0,Q106*VLOOKUP(E106,'Prix Matiere'!$A$4:$L$60,11))",0.304425
T1,B107,"=IF(B34=""Aucun"",0,""Dessus"")",Dessus
T1,C107,"=IF(B34=""Aucun"",0,C29+VLOOKUP(B34,B169:M177,10))",99.5
T1,D107,"=IF(B34=""Sous verre 2 faces"",E29+VLOOKUP(B34,B169:M177,10),IF(B34=""Sous verre / bandes de mousse"",E29+VLOOKUP(B34,B169:M177,10),C36))",5
T1,E107,"=VLOOKUP(B34,B169:M177,9)",PU 50 mm
T1,F107,"=VLOOKUP(B34,B169:M177,11)",2
T1,J107,"=IF(C107=0,0,(C107/100)*(D107/100)*F107)",0.0995
T1,K107,=J107/0.8,0.124375
T1,L107,"=IF(E107=0,0,VLOOKUP(E107,'Prix Matiere'!$A$4:$J$65,10))",9.56701030927835
T1,M107,=L107*K107,1.1898969072164949
T1,N107,"=IF(J107=0,0,4.7283*J107+2)",2.47046585
T1,O107,=N107*MinuteMO,2.0998959725
T1,Q107,"=IF(J107=0,0,J107*VLOOKUP(E107,'Prix Matiere'!$A$4:$L$60,12))",0.12437500000000001
T1,R107,"=IF(J107=0,0,Q107*VLOOKUP(E107,'Prix Matiere'!$A$4:$L$60,11))",0.33581250000000007
T1,B108,"=IF(B34=""Aucun"",0,""Remplis de dessus"")",Remplis de dessus
T1,C108,"=IF(B34=""Aucun"",0,IF(B34=""Entourage Stratocell 20 mm"",0,IF(B34=""Entourage Stratocell 30 mm"",0,IF(B34=""Sous verre 2 faces"",0,IF(B34=""Sous verre / bandes de mousse"",0,E29-2*D107+VLOOKUP(B34,B169:M177,10))))))",89.5
T1,D108,"=IF(B34=""Sous verre / bandes de mousse"",0,IF(B34=""Sous verre 2 faces"",0,C36))",5
T1,E108,"=IF(C108=0,0,VLOOKUP(B34,B169:M177,9))",PU 50 mm
T1,F108,"=IF(B34=""Aucun"",0,IF(B34=""Entourage Stratocell 20 mm"",0,IF(B34=""Entourage Stratocell 30 mm"",0,IF(B34=""Sous verre 2 faces"",0,IF(B34=""Sous verre / bandes de mousse"",0,2)))))",2
T1,J108,"=IF(C108=0,0,(C108/100)*(D108/100)*F108)",0.08950000000000001
T1,K108,=J108/0.8,0.111875
T1,L108,"=IF(E108=0,0,VLOOKUP(E108,'Prix Matiere'!$A$4:$J$65,10))",9.56701030927835
T1,M108,=L108*K108,1.0703092783505155
T1,N108,"=IF(J108=0,0,4.7283*J108+2)",2.42318285
T1,O108,=N108*MinuteMO,2.0597054225
T1,Q108,"=IF(J108=0,0,J108*VLOOKUP(E108,'Prix Matiere'!$A$4:$L$60,12))",0.11187500000000002
T1,R108,"=IF(J108=0,0,Q108*VLOOKUP(E108,'Prix Matiere'!$A$4:$L$60,11))",0.30206250000000007
T1,B109,"=IF(B34=""Aucun"",0,""Rattrapage 1"")",Rattrapage 1
T1,C109,"=IF(C39=0,0,C29+0.2)",0
T1,D109,"=IF(C39=0,0,C39)",0
T1,E109,"=IF(C109=0,0,CONCATENATE(""PU "",$E$39*10,"" mm""))",0
T1,F109,"=IF(C39=0,0,2)",0
T1,J109,"=IF(C109=0,0,(C109/100)*(D109/100)*F109)",0
T1,K109,=J109/0.8,0
T1,L109,"=IF(E109=0,0,VLOOKUP(E109,'Prix Matiere'!$A$4:$J$65,10))",0
T1,M109,=L109*K109,0
T1,N109,"=IF(J109=0,0,4.7283*J109+2)",0
T1,O109,=N109*MinuteMO,0
T1,Q109,"=IF(J109=0,0,J109*VLOOKUP(E109,'Prix Matiere'!$A$4:$L$60,12))",0
T1,R109,"=IF(J109=0,0,Q109*VLOOKUP(E109,'Prix Matiere'!$A$4:$L$60,11))",0
T1,B110,"=IF(B34=""Aucun"",0,""Rattrapage 2"")",Rattrapage 2
T1,C110,"=IF(C39=0,0,E29+0.2-2*D109)",0
T1,D110,"=IF(C28=0,0,D109)",0
T1,E110,"=IF(C110=0,0,CONCATENATE(""PU "",$E$39*10,"" mm""))",0
T1,F110,"=IF(C39=0,0,2)",0
T1,J110,"=IF(C110=0,0,(C110/100)*(D110/100)*F110)",0
T1,K110,=J110/0.8,0
T1,L110,"=IF(E110=0,0,VLOOKUP(E110,'Prix Matiere'!$A$4:$J$65,10))",0
T1,M110,=L110*K110,0
T1,N110,"=IF(J110=0,0,4.7283*J110+2)",0
T1,O110,=N110*MinuteMO,0
T1,Q110,"=IF(J110=0,0,J110*VLOOKUP(E110,'Prix Matiere'!$A$4:$L$60,12))",0
T1,R110,"=IF(J110=0,0,Q110*VLOOKUP(E110,'Prix Matiere'!$A$4:$L$60,11))",0
T1,B111,"=IF(B34=""Aucun"",0,""Remplissage 1"")",Remplissage 1
T1,C111,"=IF(C41=0,0,C41)",0
T1,D111,"=IF(D41=0,0,D41)",0
T1,E111,"=IF(C111=0,0,CONCATENATE(""PU "",$E$41*10,"" mm""))",0
T1,F111,"=IF(C41=0,0,1)",0
T1,J111,"=IF(C111=0,0,(C111/100)*(D111/100)*F111)",0
T1,K111,=J111/0.8,0
T1,L111,"=IF(E111=0,0,VLOOKUP(E111,'Prix Matiere'!$A$4:$J$65,10))",0
T1,M111,=L111*K111,0
T1,N111,"=IF(J111=0,0,4.7283*J111+2)",0
T1,O111,=N111*MinuteMO,0
T1,Q111,"=IF(J111=0,0,J111*VLOOKUP(E111,'Prix Matiere'!$A$4:$L$60,12))",0
T1,R111,"=IF(J111=0,0,Q111*VLOOKUP(E111,'Prix Matiere'!$A$4:$L$60,11))",0
T1,B112,"=IF(B34=""Aucun"",0,""Remplissage 2"")",Remplissage 2
T1,C112,"=IF(C42=0,0,C42)",0
T1,D112,"=IF(D42=0,0,D42)",0
T1,E112,"=IF(C112=0,0,CONCATENATE(""PU "",$E$42*10,"" mm""))",0
T1,F112,"=IF(C42=0,0,1)",0
T1,J112,"=IF(C112=0,0,(C112/100)*(D112/100)*F112)",0
T1,K112,=J112/0.8,0
T1,L112,"=IF(E112=0,0,VLOOKUP(E112,'Prix Matiere'!$A$4:$J$65,10))",0
T1,M112,=L112*K112,0
T1,N112,"=IF(J112=0,0,4.7283*J112+2)",0
T1,O112,=N112*MinuteMO,0
T1,Q112,"=IF(J112=0,0,J112*VLOOKUP(E112,'Prix Matiere'!$A$4:$L$60,12))",0
T1,R112,"=IF(J112=0,0,Q112*VLOOKUP(E112,'Prix Matiere'!$A$4:$L$60,11))",0
T1,B113,"=IF(B34=""Aucun"",0,""Carton"")",Carton
T1,C113,"=IF(F113=0,0,C29+VLOOKUP(B34,B169:M177,10))",99.5
T1,D113,"=IF(F113=0,0,E29+VLOOKUP(B34,B167:M178,10))",99.5
T1,E113,"=IF(C113=0,0,""Carton"")",Carton
T1,F113,"=VLOOKUP(B34,B169:M177,12)",1
T1,J113,"=IF(C113=0,0,(C113/100)*(D113/100)*F113)",0.990025
T1,K113,=J113/0.8,1.23753125
T1,L113,"=IF(E113=0,0,Carton)",2.3247749959090167
T1,M113,=L113*K113,2.8769817066560304
T1,N113,"=IF(J113=0,0,2.356*J113+1)",3.3324989
T1,O113,=N113*MinuteMO,2.832624065
T1,Q113,"=IF(J113=0,0,J113*Poids_Carton)",0.990025
T1,R113,"=IF(J113=0,0,Q113*VLOOKUP(E113,'Prix Matiere'!$A$4:$L$60,11))",0.4791721
T1,O114,=N114*MinuteMO,0
T1,Q114,"=IF(J114=0,0,J114*Poids_Carton)",0
T1,R114,"=IF(J114=0,0,Q114*VLOOKUP(E114,'Prix Matiere'!$A$4:$L$60,11))",0
T1,C115,"=IF(F23=""Aucun"","" "",F23)", 
T1,M115,"=VLOOKUP($F$23,$B$158:$E$161,3)",0
T1,N115,"=IF(M115=0,0,12.5)",0
T1,O115,=N115*MinuteMO,0
T1,R115,"=IF(J115=0,0,Q115*VLOOKUP(E115,'Prix Matiere'!$A$4:$L$60,11))",0
T1,C116,"=IF($F$21=""Oui"",""Tyvek"",0)",0
T1,K116,"=IF(C116=""Tyvek"",SUM(K100:K112)/0.7,0)",0
T1,L116,"=IF(C116=0,0,2.75)",0
T1,M116,=K116*L116,0
T1,N116,"=IF(K116=0,0,7*K116+2)",0
T1,O116,=N116*MinuteMO,0
T1,Q116,"=IF(K116=0,0,K116*VLOOKUP(C116,'Prix Matiere'!$A$4:$L$60,12))",0
T1,R116,"=IF(J116=0,0,Q116*VLOOKUP(E116,'Prix Matiere'!$A$4:$L$60,11))",0
T1,C117,"=IF(F19=""Non"",0,""Peinture"")",0
T1,J117,"=IF(C117=0,0,(((C46/100)*(D46/100))+((C46/100)*(E46/100))+((D46/100)*(E46/100)))*2)",0
T1,K117,=J117*0.5,0
T1,L117,"=IF(C117=0,0,VLOOKUP(C117,'Prix Matiere'!$A$4:$J$60,10))",0
T1,M117,=K117*L117,0
T1,N117,"=IF(J117=0,0,IF(C117=""Peinture"",30+J117*15))",0
T1,O117,=N117*MinuteMO,0
T1,Q117,"=IF(J117=0,0,J117*VLOOKUP(C117,'Prix Matiere'!$A$4:$L$60,12))",0
T1,R117,"=IF(J117=0,0,Q117*VLOOKUP(C117,'Prix Matiere'!$A$4:$L$60,11))",0
T1,C118,=C19,Vis bois
T1,M118,"=IF(C118=""Vis bois"",0,(F4*2+F6*2)*1.5)",0
T1,N118,"=IF(C118=""Vis bois"",0,45)",0
T1,O118,=N118*MinuteMO,0
T1,Q118,"=IF(J118=0,0,J118*Poids_Carton)",0
T1,C119,=C21,Bois
T1,M119,"=IF(C119=""Métal x 4 sur GC"",4*2,IF(C119=""Métal x 2 sur bouts"",2*2,0))",0
T1,N119,"=IF(C119=""Métal x 4 sur GC"",4*3,IF(C119=""Métal x 2 sur bouts"",2*3,0))",0
T1,O119,=N119*MinuteMO,0
T1,Q119,"=IF(J119=0,0,J119*Poids_Carton)",0
T1,L121,"=IF(E121=0,0,VLOOKUP(E121,'Prix Matiere'!$A$4:$J$65,10))",0
T1,M121,=SUM(M58:M120),131.20282000187632
T1,N121,=SUM(N58:N120),120.02948740480004
T1,O121,=N121*MinuteMO,102.02506429408002
T1,Q121,=SUM(Q58:Q119),40.93123020000001
T1,R121,=SUM(R58:R119),29.294938269600003
T1,C122,"=IF($F$9=0,0,M121)",131.20282000187632
T1,F122,"=CONCATENATE(ROUNDUP(SUM(K58:K60)+SUM(K86:K87),2),"" m²"")","4,36 m²"
T1,G122,=SUM(M58:M60)+SUM(M86:M87),73.59995774226806
T1,C123,"=IF($F$9=0,0,O121)",102.02506429408002
T1,D123,"=IF($F$9=0,0,N121)",120.02948740480004
T1,F123,"=CONCATENATE(ROUNDUP(SUM(K63:K69),2),"" m²"")","1,96 m²"
T1,G123,=SUM(M63:M69),42.12197577319587
T1,C124,"=IF($F$9=0,0,((C122+C123)/Frais_Généraux)-(C122+C123))",125.58424539013032
T1,F124,"=CONCATENATE(ROUNDUP(SUM(K79:K81)+SUM(K92:K94),2),"" m²"")",0 m²
T1,G124,=SUM(M79:M81)+SUM(M92:M94),0
T1,C125,"=IF($F$9=0,0,SUM(C122:C124))",358.8121296860867
T1,F125,"=CONCATENATE(ROUNDUP(SUM(K72:K74)+SUM(K100:K112),2),"" m²"")","1,26 m²"
T1,G125,=SUM(M72:M74)+SUM(M100:M112),12.603904779756327
T1,C126,"=IF($F$9=0,0,(C125/(1-Marge)-C125))",27.00736460002804
T1,D126,=C125+C126,385.8194942861147
T1,F126,"=CONCATENATE(ROUNDUP(K113,2),"" m²"")","1,24 m²"
T1,G126,=M113,2.8769817066560304
T1,C127,"=IF($F$10=""BOVIS"",((C125+C126)*(1+C128))-(C125+C126),((C125+C126)*(1+D127))-(C125+C126))",0
T1,C128,"=IF($F$10=""BOVIS"",0.03,0)",0
T1,C129,=SUM(C125:C128),385.8194942861147
T1,G129,=C122-SUM(G122:G126),0
T1,C143,=(3+1.25+3)*2,14.5
T1,D143,=(3+1.25+3)*2,14.5
T1,E143,=(3+1.25+3)*2,14.5
T1,C144,=(5+1.25+5)*2,22.5
T1,D144,=(5+1.25+5)*2,22.5
T1,E144,=(5+1.25+5)*2,22.5
T1,C145,=(3)*2,6
T1,D145,=(3)*2,6
T1,E145,=(3)*2,6
T1,C146,=(5)*2,10
T1,D146,=(5)*2,10
T1,E146,=(5)*2,10
T1,C147,=(3+3+1.25+3)*2,20.5
T1,D147,=(3+3+1.25+3)*2,20.5
T1,E147,=(3+3+1.25+3)*2,20.5
T1,C148,=(5+5+1.25+5)*2,32.5
T1,D148,=(5+5+1.25+5)*2,32.5
T1,E148,=(5+5+1.25+5)*2,32.5
T1,C170,"=IF($F$25=""PU 50 mm"",10.2,6.2)",10.2
T1,D170,"=IF($F$25=""PU 50 mm"",11,7)",11
T1,E170,"=IF($F$25=""PU 50 mm"",10.2,6.2)",10.2
T1,F170,"=IF($F$25=""PU 50 mm"",11,7)",11
T1,H170,=2,2
T1,I170,"=IF($F$25=""PU 50 mm"",""PU 50 mm"",""PU 30 mm"")",PU 50 mm
T1,J170,"=IF($F$25=""PU 50 mm"",""PU 50 mm"",""PU 30 mm"")",PU 50 mm
T1,C171,"=IF($F$25=""PU 50 mm"",10.2,6.2)",10.2
T1,D171,"=IF($F$25=""PU 50 mm"",11,7)",11
T1,E171,"=IF($F$25=""PU 50 mm"",10.2,6.2)",10.2
T1,F171,"=IF($F$25=""PU 50 mm"",11,7)",11
T1,I171,"=IF($F$25=""PU 50 mm"",""PU 50 mm"",""PU 30 mm"")",PU 50 mm
T1,J171,"=IF($F$25=""PU 50 mm"",""PU 50 mm"",""PU 30 mm"")",PU 50 mm
T1,C172,"=4.4+IF($F$21=""Oui"",0.2)",4.4
T1,D172,"=4.4+IF($F$21=""Oui"",0.2)",4.4
T1,E172,"=4.4+IF($F$21=""Oui"",0.2)",4.4
T1,F172,"=0.2+IF($F$21=""Oui"",0.2)",0.2
T1,C173,"=6.4+IF($F$21=""Oui"",0.2)",6.4
T1,D173,"=6.4+IF($F$21=""Oui"",0.2)",6.4
T1,E173,"=6.4+IF($F$21=""Oui"",0.2)",6.4
T1,F173,"=0.2+IF($F$21=""Oui"",0.2)",0.2
T1,C174,"=IF($F$25=""PU 50 mm"",10.2,6.2)",10.2
T1,D174,"=IF($F$25=""PU 50 mm"",11,7)",11
T1,E174,"=IF($F$25=""PU 50 mm"",10.2,6.2)",10.2
T1,F174,"=IF($F$25=""PU 50 mm"",5.2,3.2)",5.2
T1,I174,"=IF($F$25=""PU 50 mm"",""PU 50 mm"",""PU 30 mm"")",PU 50 mm
T1,J174,"=IF($F$25=""PU 50 mm"",""PU 50 mm"",""PU 30 mm"")",PU 50 mm
T1,C175,"=IF($F$25=""PU 50 mm"",10.2,6.2)",10.2
T1,D175,"=IF($F$25=""PU 50 mm"",11,7)",11
T1,E175,"=IF($F$25=""PU 50 mm"",10.2,6.2)",10.2
T1,F175,"=IF($F$25=""PU 50 mm"",6,4)",6
T1,G175,"=IF($F$25=""PU 50 mm"",10.2,6.2)",10.2
T1,I175,"=IF($F$25=""PU 50 mm"",""Ethafoam 50 mm"",""Ethafoam 30 mm"")",Ethafoam 50 mm
T1,J175,"=IF($F$25=""PU 50 mm"",""PU 50 mm"",""PU 30 mm"")",PU 50 mm
T1,C176,"=IF($F$25=""PU 50 mm"",10.2,6.2)",10.2
T1,D176,"=IF($F$25=""PU 50 mm"",11,7)",11
T1,E176,"=IF($F$25=""PU 50 mm"",10.2,6.2)",10.2
T1,F176,"=IF($F$25=""PU 50 mm"",11,7)",11
T1,I176,"=IF($F$25=""PU 50 mm"",""PU 50 mm"",""PU 30 mm"")",PU 50 mm
T1,J176,"=IF($F$25=""PU 50 mm"",""PU 50 mm"",""PU 30 mm"")",PU 50 mm
T1,C177,"=IF($F$25=""PU 50 mm"",10.2,6.2)",10.2
T1,D177,"=IF($F$25=""PU 50 mm"",11,7)",11
T1,E177,"=IF($F$25=""PU 50 mm"",10.2,6.2)",10.2
T1,F177,"=IF($F$25=""PU 50 mm"",11,7)",11
T1,I177,"=IF($F$25=""PU 50 mm"",""PU 50 mm"",""PU 30 mm"")",PU 50 mm
T1,J177,"=IF($F$25=""PU 50 mm"",""PU 50 mm"",""PU 30 mm"")",PU 50 mm
T1,C194,"=VLOOKUP($F$10,'Infos Clients'!$B$2:$G$10,2)",#VALUE!
